Name,URL,Author,Price,Number of Ratings,Average Rating
Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey  set in mythological times,https://www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1,Amish Tripathi,217.00,1497,4.2 out of 5 stars
General Knowledge,Not Available,Dr. Binay Karna,Not Available,1292,4.4 out of 5 stars
Bharat Ki Rajvayvastha,https://www.amazon.in/Bharat-Ki-Rajvayvastha-M-Laxmikanth/dp/9352603869?_encoding=UTF8&psc=1,M. Laxmikanth,436.00,324,4.6 out of 5 stars
Accounting and Finance for Bankers,https://www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1,Med,300.00,191,4.5 out of 5 stars
This Is Not Your Story,https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1,Savi Sharma,119.00,1860,4.5 out of 5 stars
15 Years' Solved Papers JEE Main,https://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1,Vikas Jain,202.00,35,4.3 out of 5 stars
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition),https://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1,IIBF,294.00,186,4.4 out of 5 stars
Principles and Practices of Banking,https://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1,IIBF,489.00,187,4.5 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude,https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1,KVS Madaan,300.00,173,4.3 out of 5 stars
To Kill a Mockingbird,https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1,Harper Lee,135.00,1036,4.3 out of 5 stars
23 Year's Chapterwise Solved Questions General Studies Paper I,https://www.amazon.in/Chapterwise-Solved-Questions-General-Studies/dp/9312142054?_encoding=UTF8&psc=1,Arihant Experts,197.00,14,4.2 out of 5 stars
The Oath of the Vayuputras (Shiva Trilogy),https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1,Amish Tripathi,228.00,1406,4.4 out of 5 stars
Believe in Yourself,https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098?_encoding=UTF8&psc=1,Dr. Joseph Murphy,65.00,316,4.0 out of 5 stars
Don't Lose Your Mind  Lose Your Weight,https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1,Rujuta Diwekar,130.00,816,4.5 out of 5 stars
Milk and Honey,https://www.amazon.in/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1,Rupi Kaur,250.00,209,4.3 out of 5 stars
India's Struggle for Independence: 1857-1947,https://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1,Bipan Chandra,192.00,678,4.3 out of 5 stars
Everyone Has A Story,https://www.amazon.in/Everyone-Has-Story-Savi-Sharma/dp/9386036754?_encoding=UTF8&psc=1,Savi Sharma,87.00,2807,4.1 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018,https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147552?_encoding=UTF8&psc=1,Arihant Experts,159.00,9,4.4 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT,https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1,Arun Sharma,532.00,226,4.2 out of 5 stars
Why I Am a Hindu,https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1,Dr. Shashi Tharoor,489.00,93,3.6 out of 5 stars
General Knowledge & Awareness 2018 for RRB Railway Recruitment Exams (NTPC/ALP/ASM/Technical),https://www.amazon.in/General-Knowledge-Awareness-Recruitment-Technical/dp/9386629895?_encoding=UTF8&psc=1,Disha Experts,106.00,18,3.7 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear,https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1,Lakhmir Singh,1197.00,4,3.6 out of 5 stars
Mathematics for Class 9 by R D Sharma (2018-19 Session),https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1,R.D. Sharma,355.00,5,4.8 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017),https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1,Disha Experts,299.00,133,4.1 out of 5 stars
New Simplified Physics : A Reference Book for Class 12 for 2019 Examination (Set of 2 Volumes),https://www.amazon.in/New-Simplified-Physics-Reference-Examination/dp/B00KILPXEE?_encoding=UTF8&psc=1,S.L. Arora,960.00,91,4.3 out of 5 stars
Harry Potter and the Chamber of Secrets (Harry Potter 2),https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1,J.K. Rowling,315.00,377,4.6 out of 5 stars
